UNDERLYING,SYMBOL,JUL-20,AUG-20,SEP-20,DEC-20,MAR-21,JUN-21,DEC-21,JUN-22,DEC-22,JUN-23,DEC-23,JUN-24,DEC-24,JUN-25
NIFTY BANK,BANKNIFTY,25,25,25,,,,,,,,,,,
NIFTY 50,NIFTY,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Derivatives on Individual Securities,Symbol,JUL-20,AUG-20,SEP-20,,,,,,,,,,,
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,500,500,500,,,,,,,,,,,
BIOCON LIMITED.,BIOCON,2300,2300,2300,,,,,,,,,,,
CUMMINS INDIA LTD,CUMMINSIND,1200,1200,1200,,,,,,,,,,,
CADILA HEALTHCARE LIMITED,CADILAHC,2200,2200,2200,,,,,,,,,,,
HDFC BANK LTD,HDFCBANK,550,550,550,,,,,,,,,,,
INFOSYS LIMITED,INFY,1200,1200,1200,,,,,,,,,,,
LIC HOUSING FINANCE LTD,LICHSGFIN,2000,2000,2000,,,,,,,,,,,
PVR LIMITED,PVR,407,407,407,,,,,,,,,,,
BHARAT ELECTRONICS LTD,BEL,7600,7600,7600,,,,,,,,,,,
THE RAMCO CEMENTS LIMITED,RAMCOCEM,850,850,850,,,,,,,,,,,
BHARAT PETROLEUM CORPLT,BPCL,1800,1800,1800,,,,,,,,,,,
EICHER MOTORS LTD,EICHERMOT,35,35,35,,,,,,,,,,,
GAIL (INDIA) LTD,GAIL,6100,6100,6100,,,,,,,,,,,
GODREJ CONSUMER PRODUCTS,GODREJCP,1000,1000,1000,,,,,,,,,,,
ACC LIMITED,ACC,500,500,500,,,,,,,,,,,
GRASIM INDUSTRIES LTD,GRASIM,950,950,950,,,,,,,,,,,
HAVELLS INDIA LIMITED,HAVELLS,1000,1000,1000,,,,,,,,,,,
ADANI ENTERPRISES LIMITED,ADANIENT,4000,4000,4000,,,,,,,,,,,
ADANI PORT & SEZ LTD,ADANIPORTS,2500,2500,2500,,,,,,,,,,,
AMARA RAJA BATTERIES LTD.,AMARAJABAT,1000,1000,1000,,,,,,,,,,,
AMBUJA CEMENTS LTD,AMBUJACEM,3000,3000,3000,,,,,,,,,,,
APOLLO TYRES LTD,APOLLOTYRE,5000,5000,5000,,,,,,,,,,,
ASHOK LEYLAND LTD,ASHOKLEY,9000,9000,9000,,,,,,,,,,,
ASIAN PAINTS LIMITED,ASIANPAINT,300,300,300,,,,,,,,,,,
HINDALCOINDUSTRIESLTD,HINDALCO,4300,4300,4300,,,,,,,,,,,
AUROBINDO PHARMA LTD,AUROPHARMA,1300,1300,1300,,,,,,,,,,,
AXIS BANK LIMITED,AXISBANK,1200,1200,1200,,,,,,,,,,,
BAJAJ AUTO LIMITED,BAJAJ-AUTO,250,250,250,,,,,,,,,,,
BAJAJ FINSERV LTD.,BAJAJFINSV,125,125,125,,,,,,,,,,,
BAJAJ FINANCE LIMITED,BAJFINANCE,250,250,250,,,,,,,,,,,
BALKRISHNA IND. LTD,BALKRISIND,800,800,800,,,,,,,,,,,
BANDHAN BANK LIMITED,BANDHANBNK,1800,1800,1800,,,,,,,,,,,
BANK OF BARODA,BANKBARODA,8200,8200,8200,,,,,,,,,,,
BATA INDIA LTD,BATAINDIA,550,550,550,,,,,,,,,,,
BERGER PAINTS (I) LTD,BERGEPAINT,1100,1100,1100,,,,,,,,,,,
BHARAT FORGE LTD,BHARATFORG,1500,1500,1500,,,,,,,,,,,
JINDAL STEEL & POWER LTD,JINDALSTEL,5000,5000,5000,,,,,,,,,,,
BHARTI AIRTEL LIMITED,BHARTIARTL,1851,1851,1851,,,,,,,,,,,
LARSEN & TOUBRO LTD.,LT,550,550,550,,,,,,,,,,,
LUPIN LIMITED,LUPIN,850,850,850,,,,,,,,,,,
BHEL,BHEL,21000,21000,21000,,,,,,,,,,,
BOSCH LIMITED,BOSCHLTD,50,50,50,,,,,,,,,,,
BRITANNIA INDUSTRIES LTD,BRITANNIA,200,200,200,,,,,,,,,,,
MAHANAGAR GAS LTD.,MGL,600,600,600,,,,,,,,,,,
CANARA BANK,CANBK,5000,5000,5000,,,,,,,,,,,
MINDTREE LIMITED,MINDTREE,800,800,800,,,,,,,,,,,
MRF LTD,MRF,10,10,10,,,,,,,,,,,
CENTURY TEXTILES LTD,CENTURYTEX,1400,1400,,,,,,,,,,,,
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,2500,2500,2500,,,,,,,,,,,
NIIT TECHNOLOGIES LTD,NIITTECH,375,375,375,,,,,,,,,,,
CIPLA LTD,CIPLA,1300,1300,1300,,,,,,,,,,,
COAL INDIA LTD,COALINDIA,3700,3700,3700,,,,,,,,,,,
INDUSIND BANK LIMITED,INDUSINDBK,800,800,800,,,,,,,,,,,
COLGATE PALMOLIVE LTD.,COLPAL,700,700,700,,,,,,,,,,,
JUBILANT FOODWORKS LTD,JUBLFOOD,500,500,500,,,,,,,,,,,
CONTAINER CORP OF IND LTD,CONCOR,1563,1563,1563,,,,,,,,,,,
OIL AND NATURAL GAS CORP.,ONGC,7700,7700,7700,,,,,,,,,,,
DABUR INDIA LTD,DABUR,1250,1250,1250,,,,,,,,,,,
DIVI'S LABORATORIES LTD,DIVISLAB,400,400,400,,,,,,,,,,,
DLF LIMITED,DLF,3300,3300,3300,,,,,,,,,,,
EQUITAS HOLDINGS LIMITED,EQUITAS,7600,7600,,,,,,,,,,,,
PETRONET LNG LIMITED,PETRONET,3000,3000,3000,,,,,,,,,,,
ESCORTS INDIA LTD,ESCORTS,1100,1100,1100,,,,,,,,,,,
EXIDE INDUSTRIES LTD,EXIDEIND,3600,3600,3600,,,,,,,,,,,
FEDERAL BANK LTD,FEDERALBNK,8500,8500,8500,,,,,,,,,,,
GODREJ PROPERTIES LTD,GODREJPROP,650,650,650,,,,,,,,,,,
SHREE CEMENT LIMITED,SHREECEM,50,50,50,,,,,,,,,,,
SUN TV NETWORK LIMITED,SUNTV,1500,1500,1500,,,,,,,,,,,
HCL TECHNOLOGIES LTD,HCLTECH,1400,1400,1400,,,,,,,,,,,
TATA CONSUMER PRODUCT LTD,TATACONSUM,2700,2700,2700,,,,,,,,,,,
HDFC LTD,HDFC,300,300,300,,,,,,,,,,,
TATA POWER CO LTD,TATAPOWER,13500,13500,13500,,,,,,,,,,,
HDFC LIFE INS CO LTD,HDFCLIFE,1100,1100,1100,,,,,,,,,,,
HERO MOTOCORP LIMITED,HEROMOTOCO,300,300,300,,,,,,,,,,,
HINDUSTAN PETROLEUM CORP,HINDPETRO,2700,2700,2700,,,,,,,,,,,
UJJIVAN FIN. SERVC. LTD.,UJJIVAN,2200,2200,,,,,,,,,,,,
HINDUSTAN UNILEVER LTD.,HINDUNILVR,300,300,300,,,,,,,,,,,
INDIABULLS HSG FIN LTD,IBULHSGFIN,3100,3100,3100,,,,,,,,,,,
ICICI BANK LTD.,ICICIBANK,1375,1375,1375,,,,,,,,,,,
ICICI PRU LIFE INS CO LTD,ICICIPRULI,1500,1500,1500,,,,,,,,,,,
IDFC FIRST BANK LIMITED,IDFCFIRSTB,19000,19000,19000,,,,,,,,,,,
INDRAPRASTHA GAS LTD,IGL,1375,1375,1375,,,,,,,,,,,
INTERGLOBE AVIATION LTD,INDIGO,500,500,500,,,,,,,,,,,
INDIAN OIL CORP LTD,IOC,5700,5700,5700,,,,,,,,,,,
ITC LTD,ITC,3200,3200,3200,,,,,,,,,,,
JSW STEEL LIMITED,JSWSTEEL,2700,2700,2700,,,,,,,,,,,
JUSTDIAL LTD.,JUSTDIAL,1400,,,,,,,,,,,,,
KOTAK MAHINDRA BANK LTD,KOTAKBANK,400,400,400,,,,,,,,,,,
L&T FINANCE HOLDINGS LTD,L&TFH,6800,6800,6800,,,,,,,,,,,
PIRAMAL ENTERPRISES LTD,PEL,550,550,550,,,,,,,,,,,
MAHINDRA & MAHINDRA LTD,M&M,1400,1400,1400,,,,,,,,,,,
M&M FIN. SERVICES LTD,M&MFIN,2100,2100,2100,,,,,,,,,,,
MANAPPURAM FINANCE LTD,MANAPPURAM,6000,6000,6000,,,,,,,,,,,
MARUTI SUZUKI INDIA LTD.,MARUTI,100,100,100,,,,,,,,,,,
MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI,7000,7000,7000,,,,,,,,,,,
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,750,750,750,,,,,,,,,,,
NATIONAL ALUMINIUM CO LTD,NATIONALUM,17000,17000,17000,,,,,,,,,,,
INFO EDGE (I) LTD,NAUKRI,250,250,250,,,,,,,,,,,
NCC LIMITED,NCC,21000,,,,,,,,,,,,,
NESTLE INDIA LIMITED,NESTLEIND,50,50,50,,,,,,,,,,,
NMDC LTD.,NMDC,6700,6700,6700,,,,,,,,,,,
NTPC LTD,NTPC,5700,5700,5700,,,,,,,,,,,
PAGE INDUSTRIES LTD,PAGEIND,30,30,30,,,,,,,,,,,
POWER FIN CORP LTD.,PFC,6200,6200,6200,,,,,,,,,,,
PIDILITE INDUSTRIES LTD,PIDILITIND,500,500,500,,,,,,,,,,,
PUNJAB NATIONAL BANK,PNB,14000,14000,14000,,,,,,,,,,,
MARICO LIMITED,MARICO,2000,2000,2000,,,,,,,,,,,
RBL BANK LIMITED,RBLBANK,2600,2600,2600,,,,,,,,,,,
REC LIMITED,RECLTD,6000,6000,6000,,,,,,,,,,,
DR. REDDY'S LABORATORIES,DRREDDY,250,250,250,,,,,,,,,,,
RELIANCE INDUSTRIES LTD,RELIANCE,505,505,505,,,,,,,,,,,
STEEL AUTHORITY OF INDIA,SAIL,19000,19000,19000,,,,,,,,,,,
SBI LIFE INSURANCE CO LTD,SBILIFE,750,750,750,,,,,,,,,,,
STATE BANK OF INDIA,SBIN,3000,3000,3000,,,,,,,,,,,
SIEMENS LTD,SIEMENS,550,550,550,,,,,,,,,,,
SUN PHARMACEUTICAL IND L,SUNPHARMA,1400,1400,1400,,,,,,,,,,,
SRF LTD,SRF,250,250,250,,,,,,,,,,,
SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN,667,667,667,,,,,,,,,,,
TATA STEEL LIMITED,TATASTEEL,1700,1700,1700,,,,,,,,,,,
TATA CHEMICALS LTD,TATACHEM,2000,2000,2000,,,,,,,,,,,
TATA MOTORS LIMITED,TATAMOTORS,5700,5700,5700,,,,,,,,,,,
GLENMARK PHARMACEUTICALS,GLENMARK,2300,2300,2300,,,,,,,,,,,
TATA CONSULTANCY SERV LT,TCS,300,300,300,,,,,,,,,,,
GMR INFRASTRUCTURE LTD.,GMRINFRA,45000,45000,45000,,,,,,,,,,,
TECH MAHINDRA LIMITED,TECHM,1200,1200,1200,,,,,,,,,,,
TITAN COMPANY LIMITED,TITAN,750,750,750,,,,,,,,,,,
TORRENT PHARMACEUTICALS L,TORNTPHARM,500,500,500,,,,,,,,,,,
TVS MOTOR COMPANYLTD,TVSMOTOR,1400,1400,1400,,,,,,,,,,,
UNITED BREWERIES LTD,UBL,700,700,700,,,,,,,,,,,
ULTRATECH CEMENT LIMITED,ULTRACEMCO,200,200,200,,,,,,,,,,,
UPL LIMITED,UPL,1300,1300,1300,,,,,,,,,,,
VEDANTA LIMITED,VEDL,6200,6200,6200,,,,,,,,,,,
VOLTAS LTD,VOLTAS,1000,1000,1000,,,,,,,,,,,
ZEE ENTERTAINMENT ENT LTD,ZEEL,3000,3000,3000,,,,,,,,,,,
VODAFONE IDEA LIMITED,IDEA,140000,140000,140000,,,,,,,,,,,
UNITED SPIRITS LIMITED,MCDOWELL-N,1250,1250,1250,,,,,,,,,,,
POWER GRID CORP. LTD.,POWERGRID,4000,4000,4000,,,,,,,,,,,
WIPRO LTD,WIPRO,3200,3200,3200,,,,,,,,,,,
BHARTI INFRATEL LTD.,INFRATEL,2800,2800,2800,,,,,,,,,,,
MAX FINANCIAL SERV LTD,MFSL,1300,1300,1300,,,,,,,,,,,
TORRENT POWER LTD,TORNTPOWER,3000,3000,3000,,,,,,,,,,,
